NGA,PolityID,PolityName,Year,Note,polity-territories,polity-populations,population-of-the-largest-settlements,settlement-hierarchies,administrative-levels,religious-levels,military-levels,professional-military-officers,professional-soldiers,professional-priesthoods,full-time-bureaucrats,examination-systems,merit-promotions,specialized-government-buildings,formal-legal-codes,judges,courts,professional-lawyers,irrigation-systems,drinking-water-supplies,markets,food-storage-sites,roads,bridges,canals,ports,mines-or-quarries,mnemonic-devices,nonwritten-records,written-records,scripts,non-phonetic-writings,phonetic-alphabetic-writings,lists-tables-and-classifications,calendars,sacred-texts,religious-literatures,practical-literatures,histories,philosophies,scientific-literatures,fictions,articles,tokens,precious-metals,foreign-coins,indigenous-coins,paper-currencies,couriers,postal-stations,general-postal-services
,635,sl_anuradhapura_2,300,,,,,4.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,635,sl_anuradhapura_2,400,,,,,4.0,4.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
,631,sl_anuradhapura_3,500,,,,,4.0,5.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,
,631,sl_anuradhapura_3,600,,,,,4.0,5.0,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,1.0,,,,1.0,,,1.0,,,,,
,629,sl_anuradhapura_4,700,,,,,5.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,
,629,sl_anuradhapura_4,800,,,,,5.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,
,629,sl_anuradhapura_4,900,,,,,5.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,
,629,sl_anuradhapura_4,1000,,,,,5.0,5.0,,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,
,320,es_aragon_k,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-6000,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5900,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5800,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5700,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5600,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5500,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5400,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
Basin of Mexico,6,mx_basin_of_mexico_1,-5300,,,,,1.0,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,
