NGA,PolityID,PolityName,Section,Subsection,value_from,value_to,year_from,year_to,is_disputed,is_uncertain
,669,ni_hausa_k,sc,polity-territories,230000,230000,,,False,False
Big Island Hawaii,17,us_hawaii_1,sc,polity-territories,1700,3000,,,False,False
Big Island Hawaii,18,us_hawaii_2,sc,polity-territories,1500,3000,,,False,False
Big Island Hawaii,19,us_hawaii_3,sc,polity-territories,7000,12000,,,False,False
Big Island Hawaii,19,us_hawaii_3,sc,polity-territories,7000,12000,,,False,False
Kansai,147,jp_heian,sc,polity-territories,250000,300000,,,False,False
Crete,69,gr_crete_hellenistic,sc,polity-territories,210,240,,,False,False
Sogdiana,129,af_hephthalite_emp,sc,polity-territories,1000000,1000000,450,450,False,False
Sogdiana,129,af_hephthalite_emp,sc,polity-territories,2750000,3000000,500,500,False,False
Yemeni Coastal Plain,353,ye_himyar_1,sc,polity-territories,250000,350000,,,False,False
Yemeni Coastal Plain,354,ye_himyar_2,sc,polity-territories,250000,350000,,,False,False
Southern China Hills,471,cn_hmong_2,sc,polity-territories,,,,,False,False
Southern China Hills,470,cn_hmong_1,sc,polity-territories,10100,10100,,,False,False
,561,us_hohokam_culture,sc,polity-territories,91402,91402,,,False,False
,561,us_hohokam_culture,sc,polity-territories,91402,91402,,,False,False
,797,de_empire_1,sc,polity-territories,1000000,1000000,1050,1050,False,False
Deccan,95,in_hoysala_k,sc,polity-territories,100000,200000,,,False,False
Deccan,95,in_hoysala_k,sc,polity-territories,100000,200000,,,False,False
Kapuasi Basin,154,id_iban_2,sc,polity-territories,124450,124450,,,False,False
Kapuasi Basin,153,id_iban_1,sc,polity-territories,,,,,False,False
Iceland,115,is_icelandic_commonwealth,sc,polity-territories,103000,103000,,,False,False
,218,ma_idrisid_dyn,sc,polity-territories,160000,160000,,,False,False
,667,ni_igala_k,sc,polity-territories,13000,13000,,,False,False
Susiana,172,ir_il_khanate,sc,polity-territories,3800000,3800000,,,False,False
,661,ni_oyo_emp_2,sc,polity-territories,46000,46000,,,False,False
Cuzco,83,pe_inca_emp,sc,polity-territories,500000,2000000,,,False,False
Kachi Plain,126,pk_indo_greek_k,sc,polity-territories,105226,105226,,,False,False
Basin of Mexico,7,mx_basin_of_mexico_2,sc,polity-territories,,,,,False,False
,548,it_italy_k,sc,polity-territories,,,,,False,False
Kansai,151,jp_azuchi_momoyama,sc,polity-territories,295000,295000,,,False,False
Kansai,151,jp_azuchi_momoyama,sc,polity-territories,295000,295000,,,False,False
Kansai,140,jp_jomon_3,sc,polity-territories,,,,,False,False
Kansai,143,jp_jomon_6,sc,polity-territories,,,,,False,False
Kansai,139,jp_jomon_2,sc,polity-territories,,,,,False,False
Kansai,142,jp_jomon_5,sc,polity-territories,,,,,False,False
Kansai,141,jp_jomon_4,sc,polity-territories,,,,,False,False
,369,ir_jayarid_khanate,sc,polity-territories,466000,466000,,,False,False
Niger Inland Delta,427,ml_jenne_jeno_1,sc,polity-territories,5,10,,,False,False
Niger Inland Delta,428,ml_jenne_jeno_2,sc,polity-territories,800,1200,,,False,False
Niger Inland Delta,430,ml_jenne_jeno_3,sc,polity-territories,1100,1100,,,False,False
Niger Inland Delta,431,ml_jenne_jeno_4,sc,polity-territories,1100,1100,,,False,False
Middle Yellow River Valley,245,cn_jin_spring_and_autumn,sc,polity-territories,160000,160000,,,False,False
Middle Yellow River Valley,245,cn_jin_spring_and_autumn,sc,polity-territories,160000,160000,,,False,False
Middle Yellow River Valley,266,cn_later_great_jin,sc,polity-territories,3600000,3600000,,,False,False
Kachi Plain,117,pk_kachi_enl,sc,polity-territories,,,,,False,False
Kachi Plain,118,pk_kachi_lnl,sc,polity-territories,,,,,False,False
Kachi Plain,123,pk_kachi_post_urban,sc,polity-territories,,,,,False,False
Kachi Plain,124,pk_kachi_proto_historic,sc,polity-territories,,,,,False,False
Kachi Plain,121,pk_kachi_urban_1,sc,polity-territories,100000,170000,,,False,False
Kachi Plain,122,pk_kachi_urban_2,sc,polity-territories,100000,170000,,,False,False
Deccan,91,in_kadamba_emp,sc,polity-territories,50000,100000,,,False,False
,407,in_kakatiya_dyn,sc,polity-territories,100000,100000,1200,1200,False,False
,406,in_kalachuri_emp,sc,polity-territories,654834,654834,,,False,False
Kansai,148,jp_kamakura,sc,polity-territories,295000,295000,,,False,False
,389,in_kamarupa_k,sc,polity-territories,,,,,False,False
Deccan,96,in_kampili_k,sc,polity-territories,10000,30000,,,False,False
,614,cd_kanem,sc,polity-territories,,,,,False,False
,670,ni_bornu_emp,sc,polity-territories,777000,777000,,,False,False
,273,uz_kangju,sc,polity-territories,350000,350000,,,False,False
Kansai,145,jp_kofun,sc,polity-territories,100000,150000,,,False,False
Kansai,144,jp_yayoi,sc,polity-territories,,,,,False,False
Sogdiana,289,kg_kara_khanid_dyn,sc,polity-territories,2000000,2000000,1000,1000,False,False
Sogdiana,289,kg_kara_khanid_dyn,sc,polity-territories,1300000,1500000,1200,1200,False,False
Southern Mesopotamia,342,iq_babylonia_2,sc,polity-territories,200000,250000,,,False,False
,298,ru_kazan_khanate,sc,polity-territories,,,,,False,False
Central Java,49,id_kediri_k,sc,polity-territories,50000,70000,,,False,False
,791,bd_khadga_dyn,sc,polity-territories,,,,,False,False
Sogdiana,469,uz_janid_dyn,sc,polity-territories,150000,300000,,,False,False
Sogdiana,469,uz_janid_dyn,sc,polity-territories,150000,300000,,,False,False
Orkhon Valley,288,mn_khitan_1,sc,polity-territories,1500000,2000000,908,908,False,False
Orkhon Valley,288,mn_khitan_1,sc,polity-territories,2000000,2500000,1000,1100,False,False
Cambodian Basin,43,kh_khmer_k,sc,polity-territories,280000,280000,,,False,False
,295,tm_khwarezmid_emp,sc,polity-territories,2300000,2300000,1210,1210,False,False
,295,tm_khwarezmid_emp,sc,polity-territories,3600000,3600000,1218,1218,False,False
Sogdiana,281,af_kidarite_k,sc,polity-territories,250000,250000,400,400,False,False
Sogdiana,281,af_kidarite_k,sc,polity-territories,850000,900000,450,450,False,False
,568,cz_bohemian_k_2,sc,polity-territories,125000,125000,1378,1378,False,False
,241,ao_kongo_2,sc,polity-territories,100000,120000,,,False,False
,290,ge_georgia_k_2,sc,polity-territories,,,,,False,False
Big Island Hawaii,20,us_kamehameha_k,sc,polity-territories,15000,16600,1800,1800,False,False
Big Island Hawaii,21,us_hawaii_k,sc,polity-territories,16705,16705,,,False,False
,636,et_jimma_k,sc,polity-territories,12900,12900,,,False,False
Konya Plain,168,tr_lydia_k,sc,polity-territories,250000,250000,-600,-600,False,False
Iceland,116,no_norway_k_2,sc,polity-territories,103000,103000,,,False,False
,326,it_sicily_k_2,sc,polity-territories,30000,30000,1130,1130,False,False
,326,it_sicily_k_2,sc,polity-territories,104004,104004,1144,1144,False,False
,280,hu_hun_k,sc,polity-territories,,,,,False,False
Konya Plain,160,tr_konya_eba,sc,polity-territories,,,,,False,False
Konya Plain,158,tr_konya_eca,sc,polity-territories,,,,,False,False
Konya Plain,163,tr_konya_lba,sc,polity-territories,50000,75000,,,False,False
Konya Plain,159,tr_konya_lca,sc,polity-territories,90,90,,,False,False
Konya Plain,157,tr_konya_lnl,sc,polity-territories,,,,,False,False
Sogdiana,127,af_kushan_emp,sc,polity-territories,2000000,2500000,100,100,False,False
Sogdiana,127,af_kushan_emp,sc,polity-territories,2000000,2500000,200,200,False,False
Paris Basin,453,fr_la_tene_a_b1,sc,polity-territories,1250,1250,-400,-400,False,False
Paris Basin,454,fr_la_tene_b2_c1,sc,polity-territories,1250,1250,-300,-300,False,False
